C_LOC_MEV;NOMBRE DEL PROGRAMA;PROGRAMA;PROGRAMA II;ENTREGADA;AÑO;N;TP;PU;AR;UP;MP
119005;COLONIA BALTASAR BRUM-INC;OTROS;INC;09/10/2020;2020;0;0;0;0;0;0
12797;ALGORTA-INAU-CND;OTROS;CONVENIO;09/10/2020;2020;0;0;0;0;0;0
16925;CAPURRO-ESCUELA Nº 58-ANEP;OTROS;CONVENIO;09/10/2020;2020;0;0;0;0;0;0
1890023;COLONIA HECTOR GUTIERREZ RUIZ-INM.833-FR.3-INC;OTROS;INC;09/10/2020;2020;0;0;0;0;0;0
15821;ALBISU PU I;PU;PU;18/09/2020;2020;0;0;1;0;0;0
15722;SAN ANTONIO (SALTO) PU I;PU;PU;18/09/2020;2020;0;0;2;0;0;0
15966;18 DE JULIO N II;NÚCLEO;NÚCLEO;18/09/2020;2020;6;0;0;0;0;0
159004;CORDON HORTICOLA SALTO NE- AR I;AR;AR;18/09/2020;2020;0;0;0;4;0;0
3630;SOCA PU I Segunda Entrega;PU;PU;04/09/2020;2020;0;0;1;0;0;0
3840;TAPIA AR I – Segunda Entrega;AR;AR;04/09/2020;2020;0;0;0;1;0;0
3630;SOCA AR I ;AR;AR;04/09/2020;2020;0;0;0;1;0;0
3625;EMPALME OLMOS AR II;AR;AR;04/09/2020;2020;0;0;0;6;0;0
3840;TAPIA PU I – Cuarta Entrega;PU;PU;04/09/2020;2020;0;0;6;0;0;0
3625;EMPALME OLMOS PU I – Segunda Entrega;PU;PU;04/09/2020;2020;0;0;5;0;0;0
29006;COLONIA JOSE ARTIGAS-FRACC.23 B-INC;OTROS;INC;17/08/2020;2020;0;0;0;0;0;0
169005;SAN JOSÉ – INM. 765 – INC - PL;OTROS;INC;17/08/2020;2020;0;0;0;0;0;0
169005;SAN JOSE-INMUEBLE 765-REFACCION-INC;OTROS;INC;17/08/2020;2020;0;0;0;0;0;0
179005;COLONIA LARRAÑAGA-INC;OTROS;INC;17/08/2020;2020;0;0;0;0;0;0
179004;SORIANO-INMUEBLE 414-FRACCION 4A-INC;OTROS;INC;17/08/2020;2020;0;0;0;0;0;0
3528;TALA UP V – Quinta entrega;UP;UP;14/08/2020;2020;0;0;0;0;13;0
189003;COLONIA EMILIANO ZAPATA-INM.446-FRACC.3-INC-PL-AA;OTROS;INC;08/07/2020;2020;0;0;0;0;0;0
