CODLOC,H_TOT,P_TOT,H_PAR,P_TOT_PAR
16924,15,28,15,28
16925,186,517,186,517
16926,220,620,220,620
16929,967,2585,967,2585
16932,179,423,179,423
16933,27,61,27,61
16939,23,59,23,59
16945,57,162,57,162
16946,13,35,13,35
16947,52,183,51,155
16950,392,1287,392,1287
16960,32,93,32,93
16961,80,250,80,250
16962,54,149,54,149
16963,38,81,38,81
16964,33,99,33,99
16965,49,134,49,134
16966,18,41,17,36
17220,13841,41974,13821,41599
17321,5776,17174,5772,17119
17521,1782,4600,1777,4494
17621,787,2120,787,2120
17622,741,2123,739,2105
17623,391,1124,391,1124
17624,129,381,129,381
17721,259,783,258,772
17722,374,998,373,986
17798,153,394,152,393
17822,48,151,48,151
17823,225,557,225,557
17824,122,456,122,456
17825,150,430,150,430
17900,2355,6612,2340,6524
17927,11,36,11,36
17928,23,73,23,73
17930,25,74,25,74
17931,44,118,44,118
17939,63,170,63,170
17950,587,1961,587,1961
17951,13,43,13,43
17952,33,131,33,131
17993,35,111,35,111
18220,18846,54755,18823,54450
18321,4513,12985,4507,12825
18521,1201,3415,1198,3408
18695,130,450,130,450
18721,236,687,235,682
18722,870,2712,869,2704
18723,363,1037,363,1037
18724,83,235,83,235
18822,54,160,53,159
18825,26,87,26,87
18827,44,107,44,107
18828,366,1142,366,1142
18829,141,510,141,510
18830,57,170,56,170
18831,33,98,33,98
18833,18,54,18,54
18834,109,298,109,298
18894,26,88,26,88
18900,3399,9660,3328,9518
18925,14,42,14,42
18928,16,52,16,52
18931,74,218,74,218
18937,75,240,75,240
18952,8,19,8,19
18963,7,26,7,26
18971,10,24,10,24
18980,35,133,35,133
18990,14,51,13,49
18991,9,23,9,23
18992,26,110,26,110
18993,150,463,150,463
19220,9513,25477,9492,25120
19521,846,2341,843,2326
19522,1366,3810,1365,3809
19721,107,344,107,344
19722,494,1430,494,1430
19723,393,1199,393,1199
19790,540,1694,538,1638
19821,230,674,229,665
19822,87,230,87,230
19896,50,133,50,133
19900,1238,3172,1227,3157
19922,12,19,12,19
19924,16,62,16,62
19940,17,49,17,49
19941,27,68,27,68
