CODCOMP,H_TOT,P_TOT,H_PAR,P_TOT_PAR
105105010,115,244,115,244
105105011,109,224,109,224
105105012,114,257,114,257
105105013,97,269,97,269
105105014,112,246,112,246
105105015,113,229,113,229
105105400,0,0,0,0
105105500,0,0,0,0
105106001,4,8,4,8
105106002,101,199,101,199
105106003,78,197,78,197
105106004,106,221,106,221
105106005,34,81,34,81
105106006,137,264,137,264
105201004,152,312,152,312
105201005,136,247,135,244
105201006,99,206,97,157
105201007,38,68,38,68
105201012,178,334,178,334
105201013,148,262,148,262
105202005,67,127,67,127
105202009,188,397,187,374
105202010,177,375,176,351
105202011,111,214,111,214
105202400,0,0,0,0
105202600,68,159,68,159
105202601,0,0,0,0
105202602,0,0,0,0
105203003,22,102,20,34
105203004,117,241,117,241
105203005,119,231,119,231
105203006,96,225,94,215
105203011,73,163,72,152
105203012,117,235,117,235
105204003,47,89,47,89
105204004,54,121,54,121
105204005,152,284,152,284
105204006,115,238,114,225
105204011,35,86,35,86
105204012,108,226,107,224
105205002,211,435,211,435
105205003,53,149,53,149
105205004,47,147,47,147
105205005,23,57,23,57
105205006,58,120,58,120
105205007,0,0,0,0
105205400,0,0,0,0
105205500,0,0,0,0
105205600,121,266,121,266
105205601,0,0,0,0
105205602,11,43,11,43
105205603,0,0,0,0
105206007,135,320,135,320
105206008,67,141,67,141
105206009,3,6,3,6
105206010,110,259,110,259
105206011,92,206,92,206
105206013,0,0,0,0
105206400,0,0,0,0
105206500,0,0,0,0
106101006,58,124,57,110
106101007,140,273,140,273
106101010,15,33,15,33
106101011,0,0,0,0
106101400,0,0,0,0
106101402,0,0,0,0
106101403,0,0,0,0
106101404,0,0,0,0
106101405,0,0,0,0
106101406,0,0,0,0
106101500,0,0,0,0
106101600,65,137,65,137
106101602,223,394,223,394
106101700,93,202,93,202
106102001,57,121,57,121
106102004,50,101,50,101
106102005,102,177,102,177
106102007,101,199,101,199
106102008,76,160,76,160
106102011,15,25,15,25
106102012,96,169,96,169
106102400,0,0,0,0
106102600,69,126,69,126
106103001,0,0,0,0
106103002,87,203,87,203
106103003,9,21,9,21
106103006,48,110,48,110
106103007,76,122,76,122
106103010,90,166,89,152
106103011,78,132,77,120
106104001,173,331,173,331
106104005,21,46,21,46
106104009,64,157,63,155
106104010,179,339,179,339
106201004,55,126,55,126
106201005,31,72,31,72
106201009,70,152,70,152
106201012,0,0,0,0
106201013,73,145,72,137
106201014,73,137,73,137
106201017,49,113,48,107
106201018,82,175,82,175
106201400,0,0,0,0
106201401,0,0,0,0
106201600,49,127,48,126
106201601,253,554,253,554
106202003,15,26,15,26
106202006,188,395,187,383
106202009,112,219,112,219
106202010,117,233,116,222
106202013,74,192,73,158
106202014,132,237,132,237
106202015,67,168,66,149
106203004,40,79,40,79
106203005,72,163,71,129
106203008,149,258,148,254
106203009,115,229,115,229
106203012,47,85,46,84
106203013,63,124,63,124
106204002,171,338,171,338
106204003,109,198,108,145
106204004,58,139,58,139
106204006,106,225,106,225
106204008,105,202,105,202
106304007,88,154,88,154
106304011,183,330,183,330
106304012,227,408,227,408
107001001,39,103,39,103
107001002,98,201,98,201
107001003,57,113,57,113
107001004,70,144,70,144
107001005,19,56,19,56
107001006,79,160,79,160
107001007,38,64,38,64
107001008,72,143,72,143
107001009,49,120,48,94
107001010,5,10,5,10
107001011,32,76,32,76
107009001,87,174,87,174
107009002,79,177,79,177
107009003,101,251,101,251
107009005,179,458,179,458
107009006,85,222,85,222
107009007,0,0,0,0
107009009,0,0,0,0
107009010,121,217,121,217
107009012,0,0,0,0
107009400,0,0,0,0
107009401,0,0,0,0
107009402,0,0,0,0
107009403,0,0,0,0
107009404,0,0,0,0
107009500,0,0,0,0
107009501,0,0,0,0
107009600,95,237,95,237
107009601,0,0,0,0
107010001,59,150,59,150
107010002,0,0,0,0
